id,name,count
1,subject,58802
4,group/movement,1
13,architecture,29788
14,agricultural,270
15,bridges and viaducts,3864
17,features,7249
18,garden structures,878
19,industrial,1024
20,military,6090
21,monuments,833
22,periods and styles,3164
23,places of entertainment,280
24,public and municipal,1023
25,religious,4134
26,residential,2934
27,ruins,3115
28,"townscapes, man-made features",18499
29,"emotions, concepts and ideas",8249
30,universal concepts,1966
31,emotions and human qualities,1820
33,history,1847
34,classical,63
35,military,190
36,military: World War I,159
37,military: World War II,167
38,politics and society,929
39,religious,16
40,interiors,2450
41,domestic,1248
43,places of entertainment,176
44,public and municipal,374
45,religious,335
46,workspaces,384
47,leisure and pastimes,3130
48,eating and drinking,348
51,art and craft,587
52,recreational activities,1166
53,music and entertainment,879
54,sport,362
55,literature and fiction,2318
56,classical,185
57,"tales, legends and traditional",82
58,literature (not Shakespeare),1803
59,Shakespeare,106
60,nature,36477
61,animals: actions,416
62,animals: birds,956
63,animals: fantastic,371
64,animals: features,490
65,animals: fish and aquatic life,216
66,animals: insects & lower animals,181
67,animals: mammals,3941
68,animals: reptiles,93
69,astronomy,850
70,natural phenomena,1908
71,landscape,23323
72,plants and flowers,1735
73,seascapes and coasts,6647
74,seasons,323
75,times of the day,1445
76,water: inland,11075
77,weather,2904
78,objects,12382
79,"agriculture, gardening & fishing",770
80,fine arts and music,1810
81,electrical appliances,199
82,furnishings,2008
83,domestic,291
84,kitchen,449
85,heating and lighting,566
86,tools and machinery,833
88,clothing and personal effects,3943
89,toys and models,250
90,weapons,759
91,people,20799
92,actions: postures and motions,6827
93,body,2930
94,children,2363
95,adults,19158
97,groups,4559
98,nudes,2037
101,named families,49
102,named individuals,2864
103,named groups,62
106,places,23842
107,"cities, towns, villages (non-UK)",9526
108,countries and continents,12142
109,historical: imagined views,101
110,"mythical, religious, fictional",232
111,natural features (non-UK),4259
112,UK natural features,4060
113,UK countries and regions,11211
114,UK counties,9400
115,"UK cities, towns and villages",6817
116,work and occupations,5134
117,agriculture and fishing,972
118,arts and entertainment,1365
119,domestic,426
120,religious,274
121,educational and scientific,163
123,equestrian and sporting,105
124,industrial and crafts,332
125,crime and punishment,160
126,literary,251
127,medical,53
128,military,819
130,public service,183
132,religion and belief,2385
133,Judaeo-Christian imagery,522
134,Bible: New Testament,384
135,Bible: Old Testament,291
136,Saints,148
137,world religions,85
138,magic and occultism,193
141,classical myths: gods and heroes,542
142,classical myths: creatures,87
145,society,13992
146,birth to death,668
147,crime and punishment,321
149,"education, science and learning",471
151,dress: ceremonial/royal,85
152,dress: nations/regions,218
153,dress: fantasy/fancy,303
155,government and politics,428
156,health and welfare,177
157,sex and relationships,745
158,social comment,1625
159,transport: air,143
160,transport: land,1932
161,transport: water,7478
162,symbols & personifications,5022
163,emotional states and conditions,118
164,birth to death,95
165,religious,91
166,inscriptions,4609
167,woman,7522
169,religious and ceremonial,1015
170,vessels and containers,1709
171,medical,127
172,scientific and measuring,403
174,"reading, writing, printed matter",1984
175,actions: processes and functions,1289
177,actions: expressive,2028
178,diseases and conditions,623
179,ethnicity,504
180,trading and commercial,385
181,"classical myths: events, themes",68
183,nationality,397
184,abstraction,8503
185,non-representational,6429
189,from recognisable sources,3397
195,man,8385
196,"Strang, William",2
198,artist - non-specific,119
199,palette,61
201,"hat, cap",161
202,scarf,29
203,spectacles,129
204,painting,195
206,studio,159
208,"Chelsea, Beaufort Street",1
209,street,903
210,streetlight,103
211,wall,276
213,house,1255
214,chimney,40
218,snow,134
219,child,903
221,figure,1771
222,man-made,788
223,landscape,945
224,organic,356
225,colour,2898
226,geometric,2715
227,gestural,829
231,political prisoner,22
232,freedom,40
233,"politics: Cold War, post-1945",34
235,"Venice, Piazetta",33
237,Italy,3859
239,Renaissance,106
240,canal,519
241,column,134
242,crowd,544
243,"boat, gondola",159
244,arch,855
245,column,399
246,arcade,198
247,dock,662
249,boy,730
252,Christ,191
254,Virgin Mary,109
256,carpenter,14
257,saw,25
258,pliers,9
261,vice,2
262,workbench,2
263,basket,448
264,bowl,199
265,dove,53
266,sheep,454
267,ram,13
269,flower,493
270,standing,2305
271,walking,381
272,kneeling,439
273,comforting,63
275,kissing,56
276,carrying,488
278,hammer,24
279,bleeding,10
283,Holy Spirit,3
284,Trinity,4
285,sports and games,142
286,food and drink,539
287,miscellaneous,473
444,mysticism,215
445,text,964
447,hedge,69
448,leaf,87
449,walking,100
450,workshop,18
451,figure,6253
454,St John the Baptist,19
456,Holy Spirit - dove,6
457,farmland,351
458,ladder,95
460,"Crucifixion - wood, nails",2
462,Trinity - carpenter's triangle,1
463,Baptism - bowl of water,1
465,church,2301
466,bush,145
471,Surrey,180
473,San Vigilio,1
474,Lake Garda,6
475,lake,1712
476,sunlight,407
478,"Baird, George, Mrs",1
479,veil,43
480,male,733
481,Greek text,31
482,Latin text,123
483,"Matthew, chapter 19",2
485,primrose,3
486,nest,10
487,egg,36
488,moss,3
491,ivy,22
493,hat,981
494,"Byne, Henry",1
495,river,7683
496,wooded,8144
497,winter,112
499,name of artist,185
500,falling,86
503,cottage,414
504,evening,196
505,barn,54
506,field,354
507,Aberayron,1
508,Cardiganshire,18
509,Wales,855
511,"Bartolozzi, Francesco",1
514,classical,984
517,washing,76
518,dressing / undressing,69
519,female,1355
521,gargoyle,4
525,picnic hamper,1
527,interior - non-specific,554
528,Tudor,30
529,window,521
531,baby,417
533,apron,70
535,urn,61
536,"Lathbury, Marjorie",1
537,moon,384
538,bird - non-specific,321
540,night,453
543,autumn,72
544,embracing,359
545,fighting,119
548,servant,47
549,drinking,178
553,flirtation,41
554,morality,52
555,bottle,221
557,sea,2836
558,coast,3606
559,Easter - rainbow,1
561,Mercury / Hermes,25
562,Argus,4
563,rocky,2678
564,running,95
565,reclining,734
569,cow,654
570,dog - non-specific,734
572,energy,57
576,brick,20
578,landowner,5
580,Pompeii,2
582,"Mailer, Norman, 'The Deer Park'",1
584,balcony,64
587,stair / step,370
588,"Monroe, Marilyn",25
589,"Bardot, Brigitte",2
590,"Andrews, Melanie",1
591,"Rimbaud, Arthur",5
592,"Fleming, Ian",2
593,"Balanos, Jose",1
594,girl,725
597,pool,350
600,couple,201
602,horse,1380
603,groom,22
604,riding,515
605,saddle,16
606,hunting,124
607,Hampshire,144
608,Stratfield Saye,1
610,"dog, foxhound",26
614,storm,672
615,head / face,1717
617,uncertainty - falling,1
619,sword,190
621,mathematics,46
623,bar,39
624,mural,9
625,landscape - non-specific,545
627,riding,19
628,Leicestershire,26
629,jewellery,81
630,feather,32
634,Crucifixion,61
636,hill,9787
637,Goat Fell,1
639,Garden of Eden,15
640,St John the Evangelist,7
641,Good and Evil - tree of knowledge,1
642,"Donne, John",1
647,isolation,90
649,"sculpture, classical",177
650,path,208
651,cooling tower,6
652,power station,6
653,Didcot,1
654,Oxfordshire,252
656,holding hands,128
657,friendship,26
661,model,39
662,homelessness,14
663,"Monte Carlo, Corniche",1
664,Digswell,1
665,Hertfordshire,50
667,Holy Communion,10
670,mythological,19
671,elephant,73
672,camel,42
673,kangaroo,2
674,donkey,199
675,cave,117
676,Noah's Ark,8
678,boat - non-specific,1931
681,morning,93
682,brothel,8
685,drunkenness,28
686,woodman,26
688,farm labourer,94
689,Judas Iscariot,8
693,clover,4
694,sitting,2385
696,"Wellington, Arthur Wellesley, 1st Duke of",4
698,"politician, prime minister",18
699,cloak,173
700,wall,72
701,drapery,108
703,money,58
705,"Canning, George",1
706,"politician, Foreign Secretary",1
708,shepherd / shepherdess,153
710,cowherd,43
712,talking,395
713,'Macbeth',13
714,hut,2
716,characters,326
717,Lady Macbeth,5
720,Hero,9
721,Leander,9
722,death,368
723,lying down,213
726,crouching,213
727,grief,102
728,Zeus / Jupiter - eagle,1
729,"Catford, Castlands Road",1
730,Hyde Park - non-specific,3
732,bedroom,185
736,bed,212
737,pillow,22
738,sheet,8
739,blanket,33
741,Gothic,897
743,garden,448
744,picture,129
745,religious,718
748,"Hall, Eric",1
749,park,179
750,chair,640
751,microphone,6
752,"instrument, lute",37
754,"instrument, stringed",30
755,grass,54
757,mouth,64
758,anxiety,140
759,pessimism,13
760,jacket,53
761,living room,241
763,Monaco,9
764,dining room,47
765,car,175
767,candle,53
769,road,933
771,screen,25
772,Mediterranean Sea,8
773,"drink, spirits",1
774,fruit - non-specific,82
775,cat,129
776,ashtray,17
777,cliff,1365
778,convolvulus,6
779,Furies / Erinyes / Eumenides,5
787,bandage,36
789,deformity,23
790,Meadle,2
791,screaming,21
792,Buckinghamshire,33
793,grimacing,56
794,figure,162
795,horror,146
796,irregular forms,1840
797,combing hair,17
799,group,3792
800,wind,107
801,Sibyl / Sibylla,9
803,bell,5
805,building - non-specific,2494
806,summer,99
807,lawn,64
808,politician - non-specific,32
810,Kent,730
813,diarchy,1
814,Barker,1
815,marsh,21
816,sheet music,27
817,"Wilkinson, Norman",1
818,reed,59
819,dock,30
820,jester,7
821,music,67
823,factory,47
824,Armfield,1
825,industrialist,3
826,table,509
827,industrial society,51
828,pollution,46
830,buttonhole,1
838,shaving brush,2
839,couch,150
841,curtain,210
843,satire,163
844,rug,64
845,businessman,18
846,suit,130
847,caricature,260
848,gender,27
850,tampon,3
851,hairbrush,5
852,condom,1
854,armour,98
856,plinth,60
858,'King Lear',3
859,King Lear,5
860,Cordelia,5
863,gender,154
865,standing stone,71
867,soldier,664
868,helmet,198
869,royalty and social rank,334
870,king,89
871,princess,9
874,tent,63
875,supporting,75
877,dysfunction,27
878,spear,97
880,mountain,6052
881,glacier,41
882,Grindelwald Glacier,4
883,Switzerland,903
884,ice,26
889,Wittenham Clumps,3
893,aggression,62
896,Aphrodite / Venus - copper,1
897,Hephaestus - steel,1
898,Mars - steel,1
899,Mars,9
901,bucket,81
902,tap,9
904,Flood,19
907,flying,100
909,roller,1
913,waterfall,414
920,"Myers, Michael Lewis",1
921,linking arms,8
922,cigarette,32
926,desk,53
927,book - non-specific,331
928,inkstand,17
929,document - non-specific,60
930,eagle,35
931,garland,30
934,hand/hands raised,95
935,shouting,43
936,foliage,151
937,Meccano,3
938,militarism,25
940,happiness,67
941,playing,108
942,valley,1894
943,government,10
945,bridge,3743
946,watermill,230
955,ball,24
956,cricket,7
959,machine age,40
960,"Griffin, Jonathan",1
961,"dog, staghound",4
971,door,349
975,sun,247
976,death - black,4
979,"Dyer, George",2
983,townscape,3093
984,Camden - non-specific,3
986,wounded,108
989,"townscape, distant",8052
991,Israel,52
992,Jerusalem - non-specific,18
995,mosque,9
997,city wall,154
998,waving,50
999,church,181
1001,"Nollekens, Joseph",1
1002,"dog, spaniel",17
1003,monkey,33
1007,fly,5
1011,balustrade,86
1012,country house,592
1017,class,42
1018,platform / stage,37
1019,blindness,23
1020,Macbeth,5
1022,'Romeo and Juliet',6
1024,temptation - serpent,1
1025,torso,78
1027,lightbulb,29
1029,shoe,96
1030,abstract concepts,120
1031,power - crown,1
1032,vegetable - non-specific,35
1033,"fruit, pumpkin",3
1034,"fruit, melon",7
1035,"vegetable, marrow",4
1037,"fruit, apple",59
1042,fertility,28
1043,dcolletage,16
1047,parasol,59
1048,square,400
1050,arm/arms raised,698
1051,boat,22
1052,hoop,23
1056,crawling,27
1059,amputee,29
1060,courage,23
1061,disability,21
1062,crutch,16
1063,Spain,65
1064,"Spain, Ibiza",1
1065,tower,2888
1067,"Baselitz, Elke",1
1069,drawing,78
1070,gesticulating,106
1071,table cloth,43
1074,"drink, wine",31
1076,leg,83
1077,foot,41
1078,mirror,153
1079,hand,264
1080,"Millais, John Everett, 1st Baronet",4
1081,"Rossetti, Gabriele",1
1082,"Hunt, William Holman",2
1083,"Disraeli, Benjamin",2
1084,art dealer,38
1087,painting,37
1089,"Jowett, Benjamin",1
1090,Oxford - non-specific,41
1091,pipe,62
1092,"Johnstone, Alexander P.",1
1093,leaping,10
1095,leash,34
1097,restraining,19
1101,"Morris, William, 'Sigurd the Volsung'",1
1104,fence,257
1105,ford,14
1106,looking / watching,317
1109,train,51
1110,Messalina,1
1113,prostitution,32
1115,duck,75
1118,drinking,19
1120,glove,72
1121,"Whistler, Beatrice",1
1122,obesity,30
1124,"Hodges, Thomas Law",1
1127,farmer,20
1130,bull,62
1132,pig,51
1133,goat,109
1134,"man, old",236
1136,livestock pen,23
1138,castle,5404
1140,tractor,9
1142,hay,33
1145,Greece,36
1146,"Cairo, the Citadel, Mohammed Ali Mosque",1
1147,Egypt,61
1150,"North African Campaigns, 1940-3",8
1151,dome,492
1152,courtyard,63
1153,Al-Sudan,1
1154,Gallabat,1
1157,Addis Ababa,2
1158,Ethiopia,2
1159,Tobruk,1
1161,Libya,2
1162,flat,46
1163,"ship, warship",231
1164,bomb damage,36
1165,chimney,76
1166,market,17
1168,"Covent Garden, Market",5
1169,letter,42
1170,"Rossetti, Dante Gabriel",15
1171,race,140
1172,American,50
1173,Jewish,31
1180,"Carlyle, Thomas",1
1181,poet,136
1182,"Whistler, James Abbot McNeill",3
1183,bread,33
1184,"drink, beer",23
1185,broom,43
1186,settle,2
1187,"Morris, William",3
1188,"Burne-Jones, Edward",2
1190,"Rossetti, Christina",4
1191,arguing,20
1192,"Sala, George Augustus",1
1193,cigar,26
1195,journalist,11
1196,author,96
1197,"Meredith, George",4
1200,easel,54
1202,"Swinburne, Algernon Charles",2
1203,"Gosse, Edmund",1
1204,River Thames,694
1205,London - non-specific,101
1207,"boat, barge",457
1208,seagull,86
1211,"Scott, William Bell",1
1212,"Brown, Ford Madox",4
1213,Swiss nationals,1
1214,wombat,2
1215,arms folded,88
1216,"Leighton, Frederic, Lord",1
1217,slipper,8
1219,legs crossed,123
1220,maid,36
1222,"Browning, Robert",1
1223,"Ashburton, Louisa, Lady",1
1224,Red Lion Square,1
1227,audience,69
1228,lily,39
1229,flag - non-specific,155
1234,aestheticism - lily,1
1235,"Wilde, Oscar",3
1236,estuary,348
1237,Barmouth Estuary,1
1238,Arthog,1
1239,Little Witcombe,1
1240,Cotswolds,5
1242,Banbury,1
1243,stick,6
1244,stick,25
1245,Sussex - non-specific,11
1246,"Lewes, Lewes Castle",7
1248,"Marriott, Hugh",1
1249,Ironbridge,4
1250,Shropshire,61
1251,shed,24
1252,"Alexander the Great, funeral procession, circa 323 BC",1
1253,funeral,19
1254,carriage,248
1255,chariot,21
1256,mule,25
1257,shield,80
1259,Babylon,3
1260,Lake District,193
1261,Keswick - non-specific,2
1262,Cumbria,328
1263,Essex,100
1264,Dedham,25
1265,River Stour,43
1266,"boat, rowing",624
1268,coal bunker,1
1269,eating,118
1270,restaurant,25
1271,Paris - non-specific,52
1272,seafood,11
1273,carnival,9
1274,"Neumann, I.B.",1
1275,"Battenberg, Fridel",1
1276,harlequin,9
1278,"instrument, horn",30
1279,"Beckmann, Max",1
1280,"instrument, flute",18
1281,chaos - carnival,1
1282,rue,1
1283,rose,90
1284,box,136
1286,newspaper - non-specific,162
1287,drawing board,5
1290,shelf,28
1295,"fire, gas",1
1296,plate,90
1297,wood,58
1298,wire,10
1299,"exploration: South America, 16th c.",5
1301,Amazon basin,2
1302,studio assistant,4
1303,colonialism,106
1304,"Colman, Robert",1
1305,Ford children,1
1306,poverty,64
1308,ecology,55
1309,"newspaper, 'Guardian, The'",3
1311,coral,3
1320,cross,96
1321,staff,106
1324,contorted,67
1325,black,210
1326,fire,188
1327,sea monster,15
1329,Leviathan,2
1331,"Nelson, Horatio, Viscount",2
1332,spirit,18
1334,"2 Samuel, chapter 11",1
1336,David,12
1337,Bond children,1
1338,Bathsheba,3
1339,"Job, chapter 2",4
1340,Job,23
1341,Job's wife,13
1342,Satan,29
1343,boils,3
1344,punishment,18
1347,cloud,1616
1350,"Dante, 'Divine Comedy' - non-specific",3
1351,cliff,771
1354,"Virgil, 'Aeneid'",11
1356,Dante,74
1357,Virgil,61
1361,Homer,1
1366,Ovid,1
1367,five senses - five poets,1
1371,"Ruskin, John",3
1372,"Cornforth, Fanny",4
1373,mistress,5
1374,critic,30
1375,Cerberus,2
1379,"Siddal, Elizabeth Eleanor",11
1380,earring,31
1383,Underworld,3
1384,Limbo,3
1386,Plutus,2
1390,"Nicolas III, Pope",1
1392,burn,5
1393,pope,9
1394,Hell,94
1398,"Brown, Oliver Madox",1
1399,lightning,72
1400,rain,144
1402,beard,162
1403,serpent,24
1404,top,2
1405,condescension,2
1408,snake,72
1413,thief,10
1416,shock,62
1417,complacency,8
1421,"Tennyson, Alfred Tennyson, 1st Baron",2
1422,Purgatory,29
1423,"Woolner, Thomas",1
1429,love - step of porphyry,1
1431,contrition - step of rough stone,1
1432,sincerity - step of marble,1
1433,"Tennyson, Emily",1
1434,queen,63
1435,prince,26
1436,cardinal,14
1441,protecting,36
1445,"Bourchier, Thomas",1
1446,"Richard, Duke of York, Prince",1
1447,"Elizabeth Woodville, Queen of Edward IV",1
1448,Annunciation,15
1449,Archangel Gabriel,4
1452,age of sitter,4
1454,"woman, old",126
1459,chest,7
1460,chrysanthemum,9
1461,vase,215
1463,griffin,8
1465,"Horniman, Annie",1
1466,St Matthew,2
1467,St Mark,2
1468,St Luke,3
1470,Beatrice,14
1471,Barbican - non-specific,1
1472,Garden of Eden,14
1473,shop,79
1474,poetic genius - Dante,1
1478,noticeboard,3
1481,Faith - female figure in white,1
1482,Hope - female figure in green,1
1483,Charity - female figure in red,1
1488,River Lethe,2
1491,pointing,171
1493,"Ezekiel, chapter 1",2
1495,France,2369
1496,plough,68
1497,ploughing,65
1499,"book, Bible",10
1503,flying,163
1504,freedom - flying,1
1505,"Popham, Anne Olivier",1
1508,"Bell, Anne Olivier",1
1509,"Blake, William, 'Urizen'",8
1510,Enitharmon,2
1511,Orc,2
1512,Shakespeare Cliff,23
1513,Dover - non-specific,70
1514,art historian,9
1515,St Ives - non-specific,27
1516,Cornwall,494
1517,"poultry, pheasant",1
1518,harbour,1224
1519,beach,883
1520,pheasant,19
1521,"boat, fishing",307
1522,wrestling,13
1523,dragonfly,2
1524,yard,24
1528,The Beach Boys,1
1529,"Ramage, Edie",1
1530,"Sellwood, Emily",1
1531,Isle of Wight,231
1532,Berkshire,207
1533,Farringford,1
1534,Westminster - non-specific,1
1535,sunset,467
1540,Good and Evil - fighting angels,2
1541,Blackdown Hills,1
1542,Hurley - non-specific,1
1544,pity - Enitharmon,1
1546,bending forward,265
1547,hare,37
1552,compasses,5
1553,"Newton, Sir Isaac",3
1554,headscarf,39
1555,lichen,1
1556,God,33
1557,Adam,27
1558,Devon,535
1559,Somerset,73
1560,shame,17
1561,farm,174
1566,reading,272
1567,seafront,364
1568,"Blake, Catherine",1
1571,poem,156
1572,eye,74
1573,wing,85
1575,Poland,32
1577,"Job, chapter 7",2
1578,"Dudley, Helen",1
1579,cushion,30
1583,mantelpiece,22
1585,arm,59
1586,bone,35
1591,"Etchells, Jessie",2
1592,"Leacock, David, Mrs",1
1596,environment / nature,136
1597,"Hutchinson, Mary St John",2
1598,"instrument, lyre",35
1599,"Barnes, Mary",1
1600,Dorset,179
1603,English Channel,13
1604,"Luke, chapter 24",1
1605,Resurrection,8
1606,Apostle,9
1607,doll,34
1610,Regent's Park,4
1611,Gloucester Gate,1
1612,bowing,24
1613,disbelief,2
1615,spring,52
1617,musician,85
1620,"Wars of the Roses, 1455-85",2
1623,owl,41
1625,confession,1
1627,guilt,18
1628,skeleton,68
1629,sexual organs,105
1630,death - skeleton,8
1635,bench,95
1636,Bellany,1
1637,photograph,54
1638,badge,12
1639,tie,63
1642,illness,36
1643,"Bellany, John",4
1645,drip,2
1647,Cambridgeshire,40
1649,coffee pot,18
1650,"fruit, pomegranate",7
1652,toy,12
1653,train,3
1658,Masked Zebra Kid,1
1659,zebra,7
1660,"Weld, Tuesday",1
1662,actor,125
1667,"Blake, Peter",2
1672,"magazine, 'Elvis'",1
1673,target,6
1675,greeting,83
1676,"Hockney, David",9
1677,"Hodgkin, Howard, Sir",1
1691,"USA, California",8
1694,roller skates,2
1695,electrical component,12
1696,looking up,103
1697,"dog, sheepdog",8
1698,stream,243
1702,niche,34
1703,stoat,1
1704,irony,190
1705,Behemoth,2
1706,"Pitt, William",2
1707,star,137
1708,monster,75
1709,scythe,22
1711,"Napoleonic Wars, 1796-1815",66
1712,Buddhism,13
1714,vision,80
1715,destruction,262
1716,"Ellis, Wynn, Mrs",1
1718,college,82
1719,Scotland,1920
1720,"Poictevin, Francis",1
1721,French,30
1722,"Oxford, Oxford University",2
1723,Ludgate Circus,1
1725,taxi cab,9
1726,bus,46
1727,cathedral,665
1730,jiu-jitsu,2
1731,reflection,533
1732,Regent's Canal,1
1733,bathing / swimming,151
1734,baths,8
1735,Tregor,1
1736,Tregoff,1
1737,Trendrine,1
1738,ship - non-specific,180
1741,Eduarda,1
1742,Spanish,13
1743,pedlar,9
1746,minaret,13
1747,topiary,27
1748,"Bliss, Prudence",1
1749,"Bliss, Rosalind",1
1750,picking flowers,27
1751,"Toledo, Convent of San Miguel",1
1753,"Holt, Lilian",3
1754,"Bomberg, Diana",2
1755,memorial,48
1756,Swiss,18
1757,Holocaust,16
1759,Cyprus,2
1762,midday,22
1763,"Mendelson, Lilian",3
1767,Canadian,3
1769,Saint-Eloi,2
1773,towpath,8
1777,"Whitechapel, Schevzik's Baths",1
1778,gypsy,19
1779,Ezekiel's vision,3
1780,resurrection,29
1782,Gunhills,1
1783,"Bomberg, Lilian",3
1784,camellia,2
1787,torture,51
1788,paperweight,2
1792,smoke,251
1795,medicine,21
1800,animal / human,156
1801,"Lincoln, Abraham",3
1802,theatre,57
1804,muff,7
1805,theatrical costume,21
1809,trees,2360
1810,shadow,578
1811,USA,233
1813,"Presley, Elvis",1
1814,giant,15
1816,"Van Gogh, Vincent",1
1817,despair,52
1818,"West, Estella",5
1819,Juliet,4
1821,nanny,11
1822,building site,74
1823,love - statue of cupid,1
1824,Oxford Street - non-specific,2
1826,crane,77
1827,tree,1734
1828,Tenby - non-specific,9
1829,Pembrokeshire,79
1830,stump,24
1831,palm,108
1832,branch,123
1834,dawn,33
1835,shopkeeper,8
1837,"poultry, chicken",5
1840,shop,25
1842,"poultry, goose",1
1845,"Loeser, Mathilde",1
1846,La Garde-Freinet,1
1847,Saint-Maxime-sur-Mer,1
1848,Icarus,8
1850,"Saint-Tropez, La Maison Blanche",1
1851,skull,66
1852,Cadoux,1
1853,"instrument, guitar",40
1854,"USA, Cape Cod",2
1856,"Sussex, East",432
1857,hospital,27
